"IDASISTENT","IDSECTIE","IDSALARIU","NUMEASISTENT","PRENUMEASISTENT","ADRESA","TELEFON","CONTBANCAR"
"A1","Sc1","S011","Stan","Iulia","Iasi",987654321,"IBAN10012"
"A2","Sc2","S012","Cucuietu","Maria","Barlad",767890890,"IBAN100126"
"A3","Sc3","S013","Rediu","Vlad","Vaslui",754123123,"IBAN100125"
"A4","Sc4","S014","Popescu","Daniel","Iasi",756124124,"IBAN100120"
"A5","Sc5","S015","Stan","Mihaela","Roman",789123456,"IBAN100128"
"A6","Sc6","S016","Pahomi","Iasmina","Iasi",324098890,"IBAN100122"
"A7","Sc7","S017","Miclaus","Marius","Tecuci",332437699,"IBAN100123"
"A8","Sc8","S018","Miclaus","Monica","Vaslui",767898989,"IBAN100124"
"A9","Sc9","S019","Hucanu","Anca","Brasov",324567567,"IBAN100127"
"A10","Sc10","S020","Lungu","Loredana","Timisoara",767010810,"IBAN100129"
